County/Sub County,Farming,Maize,Sorghum,Rice,Potatoes,Beans,Cassava,Sweet Potatoes,Wheat,Green grams,Bananas,Cabbages,Tomatoes,Onions,Ground Nuts,Millet,Watermelons,Kales,Sugarcane,Cotton
LIMURU,"19,202","14,312",,,"14,217","13,413",179,540,,,"1,617","4,908","1,344","3,755",,,"11,999",567,,
RUIRU,"8,590","3,554",,,970,"2,756",478,689,,,"1,423",681,939,885,,,"2,367",807,,
THIKA EAST,"4,700","3,304",,,752,"3,024",620,634,,,"1,111",305,651,563,,,"1,472",458,,
THIKA WEST,"6,498","2,942",,,889,"2,262",498,758,,,"1,296",497,930,777,,,"2,034",677,,
TURKANA,"61,209","9,751","10,225",,,,,,"1,991",,,,,,,"2,917","1,827",,,
KIBISH,"3,955",85,24,,,,,,7,,,,,,,61,46,,,
LOIMA,"9,743","1,732","2,167",,,,,,414,,,,,,,323,201,,,
TURKANA CENTRAL,"11,229","1,392","2,122",,,,,,404,,,,,,,834,198,,,
TURKANA EAST,"9,618","2,695","1,922",,,,,,331,,,,,,,460,272,,,
TURKANA NORTH,"6,956",53,25,,,,,,8,,,,,,,62,62,,,
TURKANA SOUTH,"10,257","2,824","1,518",,,,,,607,,,,,,,785,780,,,
TURKANA WEST,"9,451",970,"2,447",,,,,,220,,,,,,,392,268,,,
WEST POKOT,"89,828","75,323","18,754","-    11,316","43,812","2,126","2,942",,"2,193","14,413","8,146","4,808","10,145","1,140","11,759","1,035","18,662","4,006",,
KIPKOMO,"14,921","13,733","4,632",-686,"10,477",539,818,,297,"3,029",660,"1,054","2,115",188,"2,829",106,"3,501",558,,
POKOT CENTRAL,"17,573","13,864","2,097",-    644,"7,281",909,613,,838,"4,137",656,"1,168","1,691",372,"3,822",226,"2,533","1,659",,
POKOT NORTH,"20,563","17,561","7,692",-    285,"8,915",117,261,,488,622,242,432,462,278,"1,607",486,"1,313",370,,
POKOT SOUTH,"12,241","8,398",481,"-    7,886","4,585",181,413,,87,"1,998","4,883","1,146","4,836",63,934,80,"5,930",743,,
WEST POKOT,"24,530","21,767","3,852","-    1,815","12,554",380,837,,483,"4,627","1,705","1,008","1,041",239,"2,567",137,"5,385",676,,
SAMBURU,"43,149","12,817",,"-    3,168","10,667",,346,93,465,721,"1,593","2,202","2,458",,51,,"4,487",,,
SAMBURU CENTRAL,"22,176","12,561",,"-    3,134","10,408",,321,89,425,656,"1,556","2,092","2,359",,49,,"4,291",,,
SAMBURU EAST,"11,460",59,,-    17,53,,7,2,3,8,13,18,15,,2,,33,,,
SAMBURU NORTH,"9,513",197,,-    17,206,,18,2,37,57,24,92,84,,,,163,,,
TRANS NZOIA,"140,249","125,391","9,454","-    15,289","88,786","10,655","22,537","1,663","1,251","55,116","8,379","9,486","7,414","2,205","12,266",,"43,464","7,816",,
TRANS NZOIA WEST,"23,540","20,733","1,886","-    4,606","16,029","1,823","3,479",268,211,"9,683","1,823","2,871","1,338",337,"2,178",,"7,093",865,,
TRANS NZOIA EAST,"36,921","34,049","1,992","-    3,387","22,193","1,392","4,123",360,240,"12,863","2,349","1,380","2,243",194,"3,921",,"12,007","1,684",,
KWANZA,"28,502","25,420","1,951","-1,826","17,713","2,149","4,626",344,274,"9,958","1,377","1,374","1,018",303,"2,610",,"7,917","1,047",,
